table_name,variable_name,enumeration_code,enumeration_display,enumeration_title,enumeration_meaning,enumeration_system,enumeration_group
File,data_type,edam:data_1192,The name of a BLAST tool.,Tool name (BLAST),edam:data_1192,https://anvilproject.github.io/acr-harmonized-data-model/EnumEDAMDataTypes,EnumEDAMDataTypes
File,data_type,edam:data_1193,The name of a FASTA tool.,Tool name (FASTA),edam:data_1193,https://anvilproject.github.io/acr-harmonized-data-model/EnumEDAMDataTypes,EnumEDAMDataTypes
File,data_type,edam:data_1194,The name of an EMBOSS application.,Tool name (EMBOSS),edam:data_1194,https://anvilproject.github.io/acr-harmonized-data-model/EnumEDAMDataTypes,EnumEDAMDataTypes
File,data_type,edam:data_1195,The name of an EMBASSY package.,Tool name (EMBASSY package),edam:data_1195,https://anvilproject.github.io/acr-harmonized-data-model/EnumEDAMDataTypes,EnumEDAMDataTypes
File,data_type,edam:data_1201,A QSAR constitutional descriptor.,QSAR descriptor (constitutional),edam:data_1201,https://anvilproject.github.io/acr-harmonized-data-model/EnumEDAMDataTypes,EnumEDAMDataTypes
File,data_type,edam:data_1202,A QSAR electronic descriptor.,QSAR descriptor (electronic),edam:data_1202,https://anvilproject.github.io/acr-harmonized-data-model/EnumEDAMDataTypes,EnumEDAMDataTypes
File,data_type,edam:data_1203,A QSAR geometrical descriptor.,QSAR descriptor (geometrical),edam:data_1203,https://anvilproject.github.io/acr-harmonized-data-model/EnumEDAMDataTypes,EnumEDAMDataTypes
File,data_type,edam:data_1204,A QSAR topological descriptor.,QSAR descriptor (topological),edam:data_1204,https://anvilproject.github.io/acr-harmonized-data-model/EnumEDAMDataTypes,EnumEDAMDataTypes
File,data_type,edam:data_1205,A QSAR molecular descriptor.,QSAR descriptor (molecular),edam:data_1205,https://anvilproject.github.io/acr-harmonized-data-model/EnumEDAMDataTypes,EnumEDAMDataTypes
File,data_type,edam:data_1233,Any collection of multiple protein sequences and associated metadata that do not (typically) correspond to common sequence database records or database entries.,Sequence set (protein),edam:data_1233,https://anvilproject.github.io/acr-harmonized-data-model/EnumEDAMDataTypes,EnumEDAMDataTypes
File,data_type,edam:data_1234,Any collection of multiple nucleotide sequences and associated metadata that do not (typically) correspond to common sequence database records or database entries.,Sequence set (nucleic acid),edam:data_1234,https://anvilproject.github.io/acr-harmonized-data-model/EnumEDAMDataTypes,EnumEDAMDataTypes
File,data_type,edam:data_1235,A set of sequences that have been clustered or otherwise classified as belonging to a group including (typically) sequence cluster information.,Sequence cluster,edam:data_1235,https://anvilproject.github.io/acr-harmonized-data-model/EnumEDAMDataTypes,EnumEDAMDataTypes
File,data_type,edam:data_1238,A protein sequence cleaved into peptide fragments (by enzymatic or chemical cleavage) with fragment masses.,Proteolytic digest,edam:data_1238,https://anvilproject.github.io/acr-harmonized-data-model/EnumEDAMDataTypes,EnumEDAMDataTypes
File,data_type,edam:data_1239,Restriction digest fragments from digesting a nucleotide sequence with restriction sites using a restriction endonuclease.,Restriction digest,edam:data_1239,https://anvilproject.github.io/acr-harmonized-data-model/EnumEDAMDataTypes,EnumEDAMDataTypes
File,data_type,edam:data_1240,"Oligonucleotide primer(s) for PCR and DNA amplification, for example a minimal primer set.",PCR primers,edam:data_1240,https://anvilproject.github.io/acr-harmonized-data-model/EnumEDAMDataTypes,EnumEDAMDataTypes
File,data_type,edam:data_1245,A cluster of protein sequences.,Sequence cluster (protein),edam:data_1245,https://anvilproject.github.io/acr-harmonized-data-model/EnumEDAMDataTypes,EnumEDAMDataTypes
File,data_type,edam:data_1246,A cluster of nucleotide sequences.,Sequence cluster (nucleic acid),edam:data_1246,https://anvilproject.github.io/acr-harmonized-data-model/EnumEDAMDataTypes,EnumEDAMDataTypes
File,data_type,edam:data_1249,"The size (length) of a sequence, subsequence or region in a sequence, or range(s) of lengths.",Sequence length,edam:data_1249,https://anvilproject.github.io/acr-harmonized-data-model/EnumEDAMDataTypes,EnumEDAMDataTypes
File,data_type,edam:data_1254,"An informative report about non-positional sequence features, typically a report on general molecular sequence properties derived from sequence analysis.",Sequence property,edam:data_1254,https://anvilproject.github.io/acr-harmonized-data-model/EnumEDAMDataTypes,EnumEDAMDataTypes
File,data_type,edam:data_1255,"Annotation of positional features of molecular sequence(s), i.e. that can be mapped to position(s) in the sequence.",Sequence features,edam:data_1255,https://anvilproject.github.io/acr-harmonized-data-model/EnumEDAMDataTypes,EnumEDAMDataTypes
File,data_type,edam:data_1259,"A report on sequence complexity, for example low-complexity or repeat regions in sequences.",Sequence complexity report,edam:data_1259,https://anvilproject.github.io/acr-harmonized-data-model/EnumEDAMDataTypes,EnumEDAMDataTypes
File,data_type,edam:data_1260,A report on ambiguity in molecular sequence(s).,Sequence ambiguity report,edam:data_1260,https://anvilproject.github.io/acr-harmonized-data-model/EnumEDAMDataTypes,EnumEDAMDataTypes
